datetime,TG,SQ,DR,RH,EV24
2017-12-13 00:00:00+00:00,51.0,0.0,100.0,0.0145,0.0001
2017-12-15 00:00:00+00:00,30.0,8.0,24.0,0.0021,0.0002
2017-12-16 00:00:00+00:00,35.0,19.0,35.0,0.0047,0.0002
2017-12-17 00:00:00+00:00,39.0,40.0,70.0,0.0054,0.0004
2017-12-18 00:00:00+00:00,58.0,63.0,9.0,0.0006,0.0005
2017-12-19 00:00:00+00:00,43.0,28.0,0.0,0.0,0.0003
2017-12-20 00:00:00+00:00,74.0,0.0,13.0,0.0003,0.0001
2017-12-21 00:00:00+00:00,84.0,0.0,53.0,0.0018,0.0001
2017-12-22 00:00:00+00:00,87.0,0.0,20.0,0.0005,0.0001
2017-12-23 00:00:00+00:00,89.0,0.0,0.0,0.0,0.0001
2017-12-24 00:00:00+00:00,87.0,3.0,5.0,0.0001,0.0002
2017-12-25 00:00:00+00:00,74.0,0.0,5.0,0.0001,0.0001
2017-12-26 00:00:00+00:00,61.0,49.0,35.0,0.0021,0.0004
2017-12-27 00:00:00+00:00,57.0,19.0,57.0,0.0033,0.0003
2017-12-28 00:00:00+00:00,36.0,60.0,6.0,0.0008,0.0004
2017-12-29 00:00:00+00:00,34.0,2.0,38.0,0.0043,0.0001
2017-12-30 00:00:00+00:00,95.0,0.0,58.0,0.0054,0.0002
2017-12-31 00:00:00+00:00,108.0,5.0,161.0,0.0214,0.0001
2018-01-01 00:00:00+00:00,66.0,18.0,83.0,0.0094,0.0003
2018-01-02 00:00:00+00:00,71.0,9.0,96.0,0.0067,0.0002
2018-01-03 00:00:00+00:00,89.0,4.0,24.0,0.0055,0.0002
2018-01-04 00:00:00+00:00,84.0,7.0,17.0,0.0004,0.0002
2018-01-05 00:00:00+00:00,69.0,2.0,32.0,0.0052,0.0002
2018-01-06 00:00:00+00:00,51.0,5.0,0.0,0.0,0.0002
2018-01-07 00:00:00+00:00,21.0,50.0,0.0,0.0,0.0005
2018-01-08 00:00:00+00:00,22.0,0.0,0.0,0.0,0.0001
2018-01-09 00:00:00+00:00,35.0,0.0,3.0,0.0001,0.0002
